iliacus,psoas,pectineus,sartorius,rectus femoris,abductor longus,abductor magnus 1,abductor magnus 2,abductor magnus 3,abductor brevis,gracillis,glutus maximus,glutus medius 1,glutus medius 2,glutus medius 3,glutus minimus 1,glutus minimus 2,glutus minimus 3,tensor fascia lata,piriformis,obturator internus,glemellus superior,glemellus inferior,quadratus femoris,obturator externus,semi tendinosus,semi membranosus,hip joint force,fixed support
1554,,,,,,,,,,,,,3040,,,,,,,5447,,,,,,,3063,8486
1555,,,,,,,,,,,,,3594,,,,,,,5448,,,,,,,3083,8487
1556,,,,,,,,,,,,,4221,,,,,,,5424,,,,,,,3082,8498
1557,,,,,,,,,,,,,1888,,,,,,,5423,,,,,,,2641,8499
1558,,,,,,,,,,,,,2184,,,,,,,5422,,,,,,,2640,8500
1559,,,,,,,,,,,,,2558,,,,,,,5403,,,,,,,2654,8510
528,,,,,,,,,,,,,3012,,,,,,,5404,,,,,,,2653,8511
378,,,,,,,,,,,,,3041,,,,,,,5405,,,,,,,2652,8521
379,,,,,,,,,,,,,3595,,,,,,,5388,,,,,,,3122,8522
405,,,,,,,,,,,,,4222,,,,,,,5387,,,,,,,3121,8531
432,,,,,,,,,,,,,3596,,,,,,,5386,,,,,,,3120,8538
580,,,,,,,,,,,,,3562,,,,,,,5370,,,,,,,2667,8539
612,,,,,,,,,,,,,3013,,,,,,,5371,,,,,,,3119,8540
7502,,,,,,,,,,,,,2559,,,,,,,5372,,,,,,,3118,8541
7526,,,,,,,,,,,,,2185,,,,,,,6227,,,,,,,3651,8705
7503,,,,,,,,,,,,,1889,,,,,,,4687,,,,,,,3652,8706
8053,,,,,,,,,,,,,1890,,,,,,,6194,,,,,,,3653,8707
8052,,,,,,,,,,,,,2186,,,,,,,,,,,,,,3654,8708
8051,,,,,,,,,,,,,2560,,,,,,,,,,,,,,3099,8709
8031,,,,,,,,,,,,,3014,,,,,,,,,,,,,,3100,8710
8030,,,,,,,,,,,,,3563,,,,,,,,,,,,,,3101,8711
8015,,,,,,,,,,,,,3597,,,,,,,,,,,,,,3626,8712
8014,,,,,,,,,,,,,4223,,,,,,,,,,,,,,3625,8713
7525,,,,,,,,,,,,,1891,,,,,,,,,,,,,,3624,8714
6927,,,,,,,,,,,,,2187,,,,,,,,,,,,,,4232,8715
6928,,,,,,,,,,,,,2561,,,,,,,,,,,,,,4231,8716
6927,,,,,,,,,,,,,3015,,,,,,,,,,,,,,4230,8717
6277,,,,,,,,,,,,,3564,,,,,,,,,,,,,,4229,8718
6231,,,,,,,,,,,,,4182,,,,,,,,,,,,,,4857,8719
5491,,,,,,,,,,,,,4224,,,,,,,,,,,,,,4189,8720
7524,,,,,,,,,,,,,4225,,,,,,,,,,,,,,4190,8721
7501,,,,,,,,,,,,,4226,,,,,,,,,,,,,,4191,8725
4028,,,,,,,,,,,,,4896,,,,,,,,,,,,,,4192,8726
4714,,,,,,,,,,,,,4897,,,,,,,,,,,,,,4193,8727
5460,,,,,,,,,,,,,4898,,,,,,,,,,,,,,3598,8728
4741,,,,,,,,,,,,,4187,,,,,,,,,,,,,,3599,8729
4716,,,,,,,,,,,,,4186,,,,,,,,,,,,,,4805,8736
4030,,,,,,,,,,,,,4185,,,,,,,,,,,,,,4806,8737
2904,,,,,,,,,,,,,4184,,,,,,,,,,,,,,4807,8738
2453,,,,,,,,,,,,,4183,,,,,,,,,,,,,,4808,8739
1210,,,,,,,,,,,,,3565,,,,,,,,,,,,,,4809,8746
1227,,,,,,,,,,,,,3566,,,,,,,,,,,,,,4151,8747
1497,,,,,,,,,,,,,3567,,,,,,,,,,,,,,4152,8748
1766,,,,,,,,,,,,,3568,,,,,,,,,,,,,,4153,8754
8077,,,,,,,,,,,,,3569,,,,,,,,,,,,,,4108,8755
8078,,,,,,,,,,,,,3528,,,,,,,,,,,,,,3570,8756
8079,,,,,,,,,,,,,3527,,,,,,,,,,,,,,4109,8757
8080,,,,,,,,,,,,,3526,,,,,,,,,,,,,,3537,8762
8081,,,,,,,,,,,,,3017,,,,,,,,,,,,,,3496,8763
8082,,,,,,,,,,,,,3016,,,,,,,,,,,,,,4032,8764
8057,,,,,,,,,,,,,2981,,,,,,,,,,,,,,4011,8765
8056,,,,,,,,,,,,,2982,,,,,,,,,,,,,,3406,8766
7595,,,,,,,,,,,,,2983,,,,,,,,,,,,,,3390,8767
